"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\common\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 6, 26
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\config\benedetta.api.config.ts", "TypeScript", 16, 0, 0, 0, 0, 10, 26
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\config\navbar.config.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 6, 61
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\config\theme.config.ts", "TypeScript", 185, 0, 0, 0, 3, 5, 193
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 12, 90
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\context\ParameterContext.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 9, 62
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\context\userProfileContext.tsx", "TypeScript JSX", 0, 0, 58, 0, 3, 9, 70
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\hooks\useLocalStorage.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\hooks\useRoleRedirect.ts", "TypeScript", 19, 0, 0, 0, 0, 5, 24
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\layouts\AppLayout.tsx", "TypeScript JSX", 0, 0, 77, 0, 4, 16, 97
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\main.css", "PostCSS", 0, 3, 0, 0, 38, 6, 47
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\main.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 3, 22
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\models\LoginDTO.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\HomeRedirect.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 12, 69
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 91, 0, 16, 15, 122
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\ConfiguracionPage.tsx", "TypeScript JSX", 0, 0, 102, 0, 0, 10, 112
